rtu_id,dma_name,user_type,pipe_material,favad_n1,mnf_start,mnf_end,cusum_k_factor,cusum_h_factor,burst_intervals,q_std_mult,p_drop_bar,is_active,hard_flow_threshold
DM-02-15-02-01,DM-02-15-02-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-15-03-01,DM-02-15-03-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-15-04-01,DM-02-15-04-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-15-04-02,DM-02-15-04-02,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-15-05-01,DM-02-15-05-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-15-05-02,DM-02-15-05-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-16-01-01,DM-02-16-01-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-16-02-01,DM-02-16-02-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-16-02-02,DM-02-16-02-02,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-16-03-01,DM-02-16-03-01,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-02-16-03-02,DM-02-16-03-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-16-04-01,DM-02-16-04-01,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-02-16-04-02,DM-02-16-04-02,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-16-05-01,DM-02-16-05-01,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-16-06-01,DM-02-16-06-01,RESIDENTIAL,PVC,1.15,02:45,04:45,0.5,4,8,2.0,0.25,True,5000
DM-02-16-06-02,DM-02-16-06-02,RESIDENTIAL,PVC,1.15,01:30,03:30,0.5,4,8,2.0,0.25,True,5000
DM-02-16-06-03,DM-02-16-06-03,RESIDENTIAL,PVC,1.15,02:15,04:15,0.5,4,8,2.0,0.25,True,5000
DM-02-16-07-01,DM-02-16-07-01,RESIDENTIAL,PVC,1.15,02:00,04:00,0.5,4,8,2.0,0.25,True,5000
DM-02-16-07-02,DM-02-16-07-02,RESIDENTIAL,PVC,1.15,10:00,12:00,0.5,4,8,2.0,0.25,True,5000
DM-02-16-08-02,DM-02-16-08-02,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
DM-03-01-01-01,DM-03-01-01-01,RESIDENTIAL,PVC,1.15,02:30,04:30,0.5,4,8,2.0,0.25,True,5000
DM-03-01-01-02,DM-03-01-01-02,RESIDENTIAL,PVC,1.15,16:00,18:00,0.5,4,8,2.0,0.25,True,5000
DM-03-01-02-01,DM-03-01-02-01,RESIDENTIAL,PVC,1.15,01:30,03:30,0.5,4,8,2.0,0.25,True,5000
DM-03-01-02-02,DM-03-01-02-02,RESIDENTIAL,PVC,1.15,22:00,00:00,0.5,4,8,2.0,0.25,True,5000
DM-03-01-02-03,DM-03-01-02-03,RESIDENTIAL,PVC,1.15,20:15,22:15,0.5,4,8,2.0,0.25,True,5000
DM-03-01-03-01,DM-03-01-03-01,RESIDENTIAL,PVC,1.15,02:45,04:45,0.5,4,8,2.0,0.25,True,5000
DM-03-01-04-01,DM-03-01-04-01,RESIDENTIAL,PVC,1.15,00:15,02:15,0.5,4,8,2.0,0.25,True,5000
DM-03-01-05-01,DM-03-01-05-01,RESIDENTIAL,PVC,1.15,21:15,23:15,0.5,4,8,2.0,0.25,True,5000
DM-03-01-05-02,DM-03-01-05-02,RESIDENTIAL,PVC,1.15,01:45,03:45,0.5,4,8,2.0,0.25,True,5000
DM-03-01-05-03,DM-03-01-05-03,RESIDENTIAL,PVC,1.15,00:00,02:00,0.5,4,8,2.0,0.25,True,5000
